,Experiment,Time,Species,Gm,Drought,Nutrient_Deficiency,Fs,Salinity,Photo,Ci,Cond,CTleaf,Trmmol,WUEi,WUEin,Fv_Fm,Fv_Fo,PI,SLA,LWC,Suc,OP,OP100,RWC,WP,N,C,Neoxanthin,Violaxanthin,Lutein,Zeaxanthin,Chl_b,Chl_a,B_carotene,Glucose,Fructose,Sucrose,Sugars,Starch,Ellagic,Gal,Rut,CTs
476,2019_EEL,2,Black Walnut,0,0,0,0,0,10.23646892,174.0057912,0.121208818,26.54522859,1.814839208,8.57490483,113.568611,0.788846213,3.949893199,1.951497155,289.1450599,65.56190655,3.058441105,1.762326639,0.826395262,93.24476498,1.650112018,3.51445586,42.23870562,10.30335947,0.317984203,507.5784282,29.55581972,858.4386024,595.7623662,92.36900692,3.650444307,3.79506273,4.549310669,10.42708394,2.117270615,72.51650576,151.9735547,17.49828686,13.01277748
477,2019_EEL,2,Black Walnut,0,0,0,1,0,11.83577622,189.245993,0.123494823,25.93806012,2.139650946,7.593841369,110.7067157,0.793651528,3.940713663,1.872896088,313.085655,67.95355631,3.296827864,1.56575513,1.067190941,93.98812687,1.236505192,3.179233007,42.23511313,15.77448857,0.119070528,501.1200591,14.08438976,873.9339531,715.9492983,84.32177015,3.976308881,3.312235778,4.531453132,10.15102272,1.671830539,116.105124,146.7717723,23.61380906,12.24236652
478,2019_EEL,2,Black Walnut,1,0,0,1,0,7.899370186,200.4678121,0.091613079,25.12369421,0.772864338,8.653307389,106.8179405,0.781621337,3.718398079,1.795846939,286.189889,67.46564536,3.177411309,1.818163972,1.274181722,91.94741265,1.365088808,3.054864785,42.58995322,23.41234741,0.083921524,458.7994958,30.06763575,724.8996495,450.5376862,77.29571395,4.665799933,3.074218589,4.57996141,10.24320225,1.065708013,69.94829939,170.4426661,14.23959712,15.01391439
479,2019_EEL,2,Black Walnut,1,0,0,0,0,9.989838759,177.31644,0.118176471,24.6568822,1.452005346,8.233512648,114.9140131,0.782697976,3.91354813,1.878445088,286.2979646,69.60752887,3.355029899,1.600727356,1.147472724,93.4718417,1.140018681,3.033810841,42.28190112,11.38808376,0.261185751,451.0635727,22.08793445,830.8877057,465.3949396,100.0337863,4.399023258,3.302566908,4.268185106,11.3859796,1.108144385,119.8510283,174.9803207,17.23861274,13.34188573
480,2019_EEL,2,Black Walnut,0,0,0,0,0,9.705275558,182.4217977,0.085768234,25.49037136,1.503344704,7.375730731,118.718774,0.789454967,3.659576939,1.756176275,257.3446857,70.26348279,3.260033679,1.951813737,1.684641851,89.83553152,0.998057894,2.95161629,43.00511904,17.33331846,0.338107435,431.1955922,31.59157218,527.0853499,477.377044,89.93670061,5.372032078,3.278858058,4.08081528,12.62495232,0.642404243,36.27489637,105.3958646,26.4753832,14.09806145
481,2019_EEL,2,Black Walnut,0,0,0,1,0,11.64775823,190.5811348,0.105856569,27.45038477,1.910711923,7.927530288,110.7889808,0.78780919,3.894175435,1.882858999,295.2756801,69.89261169,3.350646992,1.80274682,1.46020737,89.73996998,1.102246588,3.519640096,42.72216677,14.56168844,0.162283768,539.9354561,39.71705781,652.9597988,650.9801144,102.4064926,5.163170493,4.055630138,4.295400264,13.20357245,1.542304457,72.08657036,163.5143304,17.13471906,13.40411971
483,2019_EEL,2,Black Walnut,1,0,0,0,0,9.886479772,190.2223129,0.070071488,27.547821,1.927142109,6.659880305,112.8857406,0.77767954,3.671578018,1.602211123,319.4389371,71.3552603,3.462905724,1.897215533,1.616453751,89.67785913,1.096921991,2.879774106,42.58981968,17.30448818,0.213673655,464.8766296,27.89727282,654.7881227,677.3865165,92.72275791,4.520461018,3.498707751,4.369035836,12.22180741,0.441711169,137.2596724,126.4371354,16.71587652,11.40393458
484,2019_EEL,2,Black Walnut,0,0,0,0,0,7.949052259,191.3401995,0.077342983,30.33552774,1.385322508,4.715163308,115.5622884,0.780419975,4.001754872,1.576396231,371.9441786,69.92823891,3.408063791,1.930658931,1.573827691,90.50658965,0.539203044,3.347123217,43.56651806,33.97852333,0.759607706,574.2669385,28.34870317,766.8196742,774.9744688,132.714663,6.274044351,3.664790622,4.881525121,13.99901078,0.903504137,187.4929911,165.0341725,3.392076823,12.36495837
485,2019_EEL,2,Black Walnut,0,0,0,1,0,11.30638957,211.0293928,0.076968711,28.15715686,2.196201602,5.606787034,99.37532194,0.770426258,3.874553186,1.613649488,334.4018793,73.58306853,3.658478781,1.762890693,1.860234639,92.77548398,0.452714331,3.30453015,42.85928145,20.46251124,0.673374921,525.0437803,31.68419278,482.2547711,742.249742,168.4124169,4.625873255,3.29851322,5.068435256,12.84138285,1.004609508,1.437540209,132.9653174,4.171630738,10.98113074
486,2019_EEL,2,Black Walnut,1,0,0,1,0,9.131092044,196.7976263,0.091814215,27.86411252,1.832409136,4.997680779,110.95793,0.781249677,3.962453996,1.599116803,312.2265729,68.41271397,3.30642266,1.416357761,1.34764617,92.35751804,0.540751267,3.248676358,43.27587918,23.81107413,0.045430348,507.8354122,34.00614067,457.5000992,719.676949,153.2327044,5.641299825,3.261533741,4.969407004,13.08357181,0.514260478,40.70921664,168.5779676,10.6474787,11.41701521
488,2019_EEL,2,Black Walnut,0,0,0,0,0,10.29927384,207.4630089,0.098980326,28.77030724,2.09280349,5.285804921,103.3754514,0.773678533,4.029748223,1.7920177,293.9907921,69.16238847,3.370128018,1.572098595,1.443708343,92.33633997,0.528336243,3.406503968,42.77612456,21.77239161,0.428244637,525.6670176,41.99187783,450.2684105,649.2109458,182.8363578,6.041567353,3.432958263,5.142243666,15.83573583,1.172409234,23.81683819,175.6496681,8.064982174,10.14111732
490,2019_EEL,2,Black Walnut,1,0,0,1,0,9.091682804,209.8661241,0.140858939,27.36869068,1.826893386,5.252283571,98.09201555,0.790409631,4.149689849,1.840395967,255.1738727,67.57652457,3.211870186,1.805694619,1.518809369,89.20748103,0.66272878,3.053334904,42.95630451,13.8372112,0.146871012,500.42722,30.54161465,514.6282479,923.4322333,171.809805,4.807466516,3.05906184,3.782535433,12.46692407,0.821079433,119.4930034,135.7809414,23.24214653,9.840854808
492,2019_EEL,2,Black Walnut,0,0,0,0,0,10.18030364,194.7763101,0.080186802,26.50819836,2.267926894,4.785160837,111.8061849,0.779774658,3.943895936,1.48757339,341.3499782,69.63087772,3.419597407,1.674849375,1.81790787,87.73490717,0.441034521,3.510753613,42.82517096,16.98504842,0.090241932,528.9057182,48.39012811,567.1946725,1164.754632,177.2426132,4.700438717,3.830935239,5.233550397,13.72465854,1.954306826,169.056826,143.1487794,5.939163868,7.075134857
495,2019_EEL,2,Black Walnut,1,0,0,0,0,9.851628753,195.5459115,0.09208542,29.75108453,2.042864641,5.149473409,104.5831385,0.774129005,3.91225628,1.555482859,304.5082228,69.7068492,3.375241617,2.187812722,1.775361252,92.42758761,0.540231989,3.09142563,42.88416617,14.15197683,0.179947001,464.9539816,40.14780456,415.4416163,740.9491209,151.7747261,4.806011165,3.15057273,4.576265803,12.70036664,0.377618187,87.33831095,165.4160969,13.50229528,12.2502022
497,2019_EEL,2,Black Walnut,0,0,0,1,0,10.18381034,187.2108272,0.090027805,27.48416332,1.992172577,5.65352722,117.0982362,0.783434143,3.848339345,1.720961166,284.3707202,65.55931132,3.058983893,2.168393521,1.168710558,89.79969155,1.137985046,2.99704906,43.38652655,13.33012722,0.624260387,526.988156,39.57872576,650.3953906,829.0576248,118.6170356,6.002902745,4.159206877,3.649022769,13.00251203,0.64451886,150.3398936,125.1642222,15.61862425,10.33323125
498,2019_EEL,2,Black Walnut,1,0,0,1,0,10.18522298,196.6008857,0.089984456,28.11913773,2.035102413,5.425680462,106.0739991,0.778137972,3.88392787,1.768643726,309.8538569,70.99263788,3.481185866,2.155863567,1.360044803,89.93501878,0.595140348,3.110537077,43.20518795,14.96238767,0.157329164,611.3259235,44.17503736,713.5834797,856.8002604,168.9998504,4.534977065,3.974994959,4.626856888,12.21441269,0.928896074,100.0410187,110.0943819,12.53374387,7.840931604
499,2019_EEL,2,Black Walnut,1,0,0,0,0,11.00735516,194.6190012,0.073366965,30.21845274,2.05567499,6.116147409,105.9911718,0.779484002,3.761838788,1.752234966,289.6396234,66.4397945,3.124608935,1.999062856,1.255606406,88.37229107,0.65588812,3.1901698,43.48100706,21.46812651,0.314020478,550.856865,49.85555214,728.3741957,849.3164553,129.0358785,5.47932418,3.818409742,4.455613057,13.29133425,0.695208007,135.7775267,124.1337035,11.48061043,11.12577329
500,2019_EEL,2,Black Walnut,0,0,0,0,0,8.316680065,198.8927504,0.089950304,27.13015476,1.598758613,5.538544675,109.6495076,0.781431957,3.950861409,1.575950428,325.4132162,70.91492855,3.448294953,1.767557641,1.609351985,89.15098807,0.79245192,2.954987491,42.62427039,11.50247086,0.051443396,514.5829308,40.58641083,623.5992011,762.7648342,154.4592254,5.28410093,3.582182417,4.411644108,13.59657583,0.375489618,61.77576179,154.8601284,16.74539301,11.98480677
502,2019_EEL,2,Black Walnut,1,0,0,1,0,9.260199348,197.8565938,0.084784726,26.74616099,1.436390216,7.291008468,109.1467512,0.785604753,3.779937465,1.709641808,304.2167316,69.09152205,3.241862473,2.00128252,1.519214161,90.83413153,1.035590935,2.965719498,42.67368118,10.35346493,0.795580749,484.4260836,36.73130419,760.6343574,506.4700131,135.0624033,4.556222385,3.608069415,4.52379699,12.46759792,1.533481695,137.5450454,166.1666498,18.70048732,13.35517828
503,2019_EEL,2,Black Walnut,1,0,0,0,0,10.47642903,207.8083666,0.101989135,28.65460584,1.728488481,7.01112697,99.86324807,0.783548293,3.876820234,1.719613149,351.8709129,70.39865402,3.402502212,1.758324292,1.540851934,90.70738657,1.176426142,3.225521717,42.64947848,23.81390013,0.665239824,633.3853663,28.88711556,829.5893097,748.1534033,158.7787254,4.916400976,3.754151132,4.657274481,13.78874311,1.536959402,9.590270719,130.7883484,14.1892598,10.76186196
