,path,acc,c_acc
0,1.csv,0.6052631578947368,0.8157894736842105
1,1.csv,0.5866666666666667,0.8133333333333334
2,1.csv,0.5945945945945946,0.7972972972972973
3,1.csv,0.6578947368421053,0.8552631578947368
4,1.csv,0.6351351351351351,0.8918918918918919
5,2.csv,0.6842105263157895,0.881578947368421
6,2.csv,0.6533333333333333,0.8666666666666667
7,2.csv,0.6756756756756757,0.8513513513513513
8,2.csv,0.7631578947368421,0.868421052631579
9,2.csv,0.6486486486486487,0.8513513513513513
10,3.csv,0.6973684210526315,0.868421052631579
11,3.csv,0.7333333333333333,0.88
12,3.csv,0.7567567567567568,0.918918918918919
13,3.csv,0.618421052631579,0.868421052631579
14,3.csv,0.7162162162162162,0.8918918918918919
15,4.csv,0.6410256410256411,0.7692307692307693
16,4.csv,0.6923076923076923,0.8974358974358975
17,4.csv,0.5641025641025641,0.7692307692307693
18,4.csv,0.7948717948717948,0.9230769230769231
19,4.csv,0.7368421052631579,0.8947368421052632
